Series,Country,Rank,Year
"5.06 Internet access in schools, 1-7 (best)",Armenia,70,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Armenia,104,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Armenia,117,2015-2016
5th pillar: Higher education and training,Armenia,72,2015-2016
"5.01 Secondary education enrollment, gross %*",Armenia,51,2014-2015
"5.02 Tertiary education enrollment, gross %*",Armenia,59,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Armenia,86,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Armenia,69,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Armenia,116,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Armenia,68,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Armenia,120,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Armenia,119,2014-2015
5th pillar: Higher education and training,Armenia,75,2014-2015
"5.01 Secondary education enrollment, gross %*",Armenia,61,2013-2014
"5.02 Tertiary education enrollment, gross %*",Armenia,51,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Armenia,69,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Armenia,67,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Armenia,120,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Armenia,78,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Armenia,119,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Armenia,114,2013-2014
5th pillar: Higher education and training,Armenia,77,2013-2014
"5.01 Secondary education enrollment, gross %*",Armenia,57,2012-2013
"5.02 Tertiary education enrollment, gross %*",Armenia,50,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Armenia,79,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Armenia,71,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Armenia,127,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Armenia,78,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Armenia,106,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Armenia,98,2012-2013
5th pillar: Higher education and training,Armenia,70,2012-2013
"5.01 Secondary education enrollment, gross %*",Armenia,52,2011-2012
"5.02 Tertiary education enrollment, gross %*",Armenia,49,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Armenia,97,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Armenia,81,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Armenia,131,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Armenia,92,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Armenia,114,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Armenia,105,2011-2012
5th pillar: Higher education and training,Armenia,76,2011-2012
"5.01 Secondary education enrollment, gross %*",Armenia,69,2010-2011
"5.02 Tertiary education enrollment, gross %*",Armenia,68,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Armenia,115,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Armenia,74,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Armenia,130,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Armenia,107,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Armenia,124,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Armenia,116,2010-2011
5th pillar: Higher education and training,Armenia,91,2010-2011
"5.01 Secondary education enrollment, gross %*",Armenia,62,2009-2010
"5.02 Tertiary education enrollment, gross %*",Armenia,65,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Armenia,105,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Armenia,73,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Armenia,125,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Armenia,101,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Armenia,120,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Armenia,114,2009-2010
5th pillar: Higher education and training,Armenia,96,2009-2010
"5.01 Secondary education enrollment, gross %*",Armenia,57,2008-2009
"5.02 Tertiary education enrollment, gross %*",Armenia,65,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Armenia,98,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Armenia,76,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Armenia,124,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Armenia,103,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Armenia,125,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Armenia,117,2008-2009
5th pillar: Higher education and training,Armenia,94,2008-2009
"5.01 Secondary education enrollment, gross %*",Armenia,59,2007-2008
"5.02 Tertiary education enrollment, gross %*",Armenia,70,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Armenia,94,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Armenia,65,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Armenia,121,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Armenia,107,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Armenia,111,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Armenia,114,2007-2008
5th pillar: Higher education and training,Armenia,95,2007-2008
"5.01 Secondary education enrollment, gross %*",Australia,4,2017-2018
"5.02 Tertiary education enrollment, gross %*",Australia,5,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Australia,16,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Australia,30,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Australia,17,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Australia,5,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Australia,15,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Australia,22,2017-2018
5th pillar: Higher education and training,Australia,9,2017-2018
"5.01 Secondary education enrollment, gross %*",Australia,3,2016-2017
"5.02 Tertiary education enrollment, gross %*",Australia,8,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Australia,14,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Australia,24,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Australia,17,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Australia,6,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Australia,14,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Australia,21,2016-2017
5th pillar: Higher education and training,Australia,9,2016-2017
"5.01 Secondary education enrollment, gross %*",Australia,1,2015-2016
"5.02 Tertiary education enrollment, gross %*",Australia,5,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Australia,13,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Australia,27,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Australia,19,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Australia,6,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Australia,10,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Australia,24,2015-2016
5th pillar: Higher education and training,Australia,8,2015-2016
"5.01 Secondary education enrollment, gross %*",Australia,1,2014-2015
"5.02 Tertiary education enrollment, gross %*",Australia,6,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Australia,19,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Australia,38,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Australia,27,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Australia,11,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Australia,23,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Australia,30,2014-2015
5th pillar: Higher education and training,Australia,11,2014-2015
"5.01 Secondary education enrollment, gross %*",Australia,1,2013-2014
"5.02 Tertiary education enrollment, gross %*",Australia,11,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Australia,23,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Australia,37,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Australia,29,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Australia,17,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Australia,23,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Australia,30,2013-2014
5th pillar: Higher education and training,Australia,15,2013-2014
"5.01 Secondary education enrollment, gross %*",Australia,1,2012-2013
"5.02 Tertiary education enrollment, gross %*",Australia,9,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Australia,15,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Australia,24,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Australia,16,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Australia,12,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Australia,18,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Australia,28,2012-2013
5th pillar: Higher education and training,Australia,11,2012-2013
"5.01 Secondary education enrollment, gross %*",Australia,1,2011-2012
"5.02 Tertiary education enrollment, gross %*",Australia,14,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Australia,13,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Australia,19,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Australia,15,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Australia,19,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Australia,14,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Australia,17,2011-2012
5th pillar: Higher education and training,Australia,11,2011-2012
"5.01 Secondary education enrollment, gross %*",Australia,1,2010-2011
"5.02 Tertiary education enrollment, gross %*",Australia,13,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Australia,12,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Australia,24,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Australia,17,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Australia,28,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Australia,20,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Australia,20,2010-2011
5th pillar: Higher education and training,Australia,14,2010-2011
"5.01 Secondary education enrollment, gross %*",Australia,1,2009-2010
"5.02 Tertiary education enrollment, gross %*",Australia,13,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Australia,14,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Australia,30,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Australia,18,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Australia,25,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Australia,17,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Australia,18,2009-2010
5th pillar: Higher education and training,Australia,14,2009-2010
"5.01 Secondary education enrollment, gross %*",Australia,1,2008-2009
"5.02 Tertiary education enrollment, gross %*",Australia,15,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Australia,9,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Australia,19,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Australia,11,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Australia,18,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Australia,15,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Australia,17,2008-2009
5th pillar: Higher education and training,Australia,14,2008-2009
"5.01 Secondary education enrollment, gross %*",Australia,1,2007-2008
"5.02 Tertiary education enrollment, gross %*",Australia,13,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Australia,8,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Australia,24,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Australia,16,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Australia,15,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Australia,16,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Australia,20,2007-2008
5th pillar: Higher education and training,Australia,14,2007-2008
"5.01 Secondary education enrollment, gross %*",Austria,46,2017-2018
"5.02 Tertiary education enrollment, gross %*",Austria,17,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Austria,44,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Austria,42,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Austria,29,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Austria,35,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Austria,11,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Austria,17,2017-2018
5th pillar: Higher education and training,Austria,16,2017-2018
"5.01 Secondary education enrollment, gross %*",Austria,52,2016-2017
"5.02 Tertiary education enrollment, gross %*",Austria,15,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Austria,32,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Austria,30,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Austria,30,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Austria,26,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Austria,7,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Austria,11,2016-2017
5th pillar: Higher education and training,Austria,12,2016-2017
"5.01 Secondary education enrollment, gross %*",Austria,44,2015-2016
"5.02 Tertiary education enrollment, gross %*",Austria,23,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Austria,37,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Austria,37,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Austria,32,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Austria,33,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Austria,6,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Austria,15,2015-2016
5th pillar: Higher education and training,Austria,16,2015-2016
"5.01 Secondary education enrollment, gross %*",Austria,44,2014-2015
"5.02 Tertiary education enrollment, gross %*",Austria,24,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Austria,31,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Austria,37,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Austria,47,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Austria,29,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Austria,5,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Austria,19,2014-2015
5th pillar: Higher education and training,Austria,15,2014-2015
